team_abbrv,coach_name,start_season,end_season,games_coached,games_W,games_L,playoff_games,playoff_games_W,playoff_games_L,seasons_coach
POR,Lenny Wilkens,1975,1976,164,75,89,0,0,0,3
POR,Maurice Cheeks,2002,2005,301,162,139,10,3,7,10
POR,Mike Dunleavy,1998,2001,296,190,106,36,18,18,10
POR,Mike Schuler,1987,1989,211,127,84,8,2,6,6
POR,Nate McMillan,2006,2012,535,266,269,18,6,12,28
POR,P.J. Carlesimo,1995,1997,246,137,109,12,3,9,6
POR,Rick Adelman,1989,1994,445,291,154,69,36,33,21
POR,Rolland Todd,1971,1972,138,41,97,0,0,0,3
POR,Stu Inman,1972,1972,26,6,20,0,0,0,1
POR,Terry Stotts,2013,2020,649,361,288,52,20,32,36
SAC,Bill Russell,1988,1988,58,17,41,0,0,0,1
SAC,Dave Joerger,2017,2019,246,98,148,0,0,0,6
SAC,Dick Motta,1990,1992,161,48,113,0,0,0,6
SAC,Eddie Jordan,1997,1998,97,33,64,0,0,0,3
SAC,Eric Musselman,2007,2007,82,33,49,0,0,0,1
SAC,Garry St. Jean,1993,1997,395,159,236,4,1,3,15
SAC,George Karl,2015,2016,112,44,68,0,0,0,3
SAC,Jerry Reynolds,1987,1990,170,56,114,0,0,0,10
SAC,Keith Smart,2012,2013,141,48,93,0,0,0,3
SAC,Kenny Natt,2009,2009,58,11,47,0,0,0,1
SAC,Luke Walton,2020,2020,72,31,41,0,0,0,1
SAC,Mike Malone,2014,2015,106,39,67,0,0,0,3
SAC,Paul Westphal,2010,2012,171,51,120,0,0,0,6
SAC,Phil Johnson,1986,1987,128,51,77,3,0,3,15
SAC,Reggie Theus,2008,2009,106,44,62,0,0,0,3
SAC,Rex Hughes,1992,1992,57,22,35,0,0,0,1
SAC,Rick Adelman,1999,2006,624,395,229,69,34,35,36
SAC,Tyrone Corbin,2015,2015,28,7,21,0,0,0,1
SAS,Bob Bass,1980,1992,111,60,51,6,1,5,12
SAS,Bob Hill,1995,1997,182,124,58,25,14,11,6
SAS,Bob Weiss,1987,1988,164,59,105,3,0,3,3
SAS,Cotton Fitzsimmons,1985,1986,164,76,88,8,2,6,3
SAS,Doug Moe,1977,1980,312,177,135,22,9,13,10
SAS,Gregg Popovich,1997,2020,1891,1277,614,284,170,114,300
SAS,Jerry Tarkanian,1993,1993,20,9,11,0,0,0,1
SAS,John Lucas,1993,1994,143,94,49,14,6,8,3
SAS,Larry Brown,1989,1992,284,153,131,14,7,7,10
SAS,Morris McHone,1984,1984,31,11,20,0,0,0,1
SAS,Rex Hughes,1993,1993,1,1,0,0,0,0,1
SAS,Stan Albeck,1981,1983,246,153,93,27,13,14,6
SDC,Gene Shue,1979,1980,164,78,86,0,0,0,3
SDC,Jim Lynam,1984,1984,82,30,52,0,0,0,1
SDC,Paul Silas,1981,1983,246,78,168,0,0,0,6
SDR,Alex Hannum,1970,1971,138,58,80,0,0,0,3
SDR,Jack McMahon,1968,1970,190,61,129,6,2,4,6
SEA,Al Bianchi,1968,1969,164,53,111,0,0,0,3
SEA,Bernie Bickerstaff,1986,1990,410,202,208,27,12,15,15
SEA,Bill Russell,1974,1977,328,162,166,15,6,9,10
SEA,Bob Hill,2006,2007,134,53,81,0,0,0,3
SEA,Bob Hopkins,1978,1978,22,5,17,0,0,0,1
SEA,Bob Kloppenburg,1992,1992,4,2,2,0,0,0,1
SEA,Bob Weiss,2006,2006,30,13,17,0,0,0,1
SEA,Bucky Buckwalter,1973,1973,37,13,24,0,0,0,1
SEA,George Karl,1992,1998,534,384,150,80,40,40,28
SEA,K.C. Jones,1991,1992,118,59,59,5,2,3,3
SEA,Lenny Wilkens,1970,1985,880,478,402,69,37,32,66
SEA,Nate McMillan,2001,2005,395,212,183,16,8,8,15
SEA,P.J. Carlesimo,2008,2008,82,20,62,0,0,0,1
SEA,Paul Westphal,1999,2001,147,76,71,5,2,3,6
SEA,Tom Nissalke,1973,1973,45,13,32,0,0,0,1
SFW,Al Attles,1970,1971,112,49,63,5,1,4,3
SFW,Alex Hannum,1964,1966,240,100,140,12,5,7,6
SFW,Bill Sharman,1967,1968,163,87,76,25,13,12,3
SFW,Bob Feerick,1963,1963,80,31,49,0,0,0,1
SFW,George Lee,1969,1970,134,63,71,6,2,4,3
STL,Andrew Levane,1962,1962,60,20,40,0,0,0,3
STL,Bob Pettit,1962,1962,6,4,2,0,0,0,1
STL,Ed Macauley,1960,1960,75,46,29,14,7,7,2
STL,Harry Gallatin,1963,1965,193,111,82,23,12,11,6
STL,Paul Seymour,1961,1962,93,56,37,12,5,7,3
STL,Richie Guerin,1965,1968,290,159,131,29,14,15,10
SYR,Alex Hannum,1961,1963,239,127,112,18,8,10,6
SYR,Paul Seymour,1960,1960,75,45,30,3,1,2,4
TOR,Brendan Malone,1996,1996,82,21,61,0,0,0,1
TOR,Butch Carter,1998,2000,165,73,92,3,0,3,6
TOR,Darrell Walker,1997,1998,131,41,90,0,0,0,3
TOR,Dwane Casey,2012,2018,558,320,238,51,21,30,28
TOR,Jay Triano,2009,2011,229,87,142,0,0,0,6
TOR,Kevin O'Neill,2004,2004,82,33,49,0,0,0,1
TOR,Lenny Wilkens,2001,2003,246,113,133,17,8,9,6
TOR,Nick Nurse,2019,2020,154,111,43,25,17,8,3
TOR,Sam Mitchell,2005,2009,345,156,189,11,3,8,15
UTA,Frank Layden,1982,1989,571,277,294,41,18,23,36
UTA,Jerry Sloan,1989,2011,1809,1127,682,196,96,100,276
UTA,Quin Snyder,2015,2020,482,271,211,28,10,18,21
UTA,Tom Nissalke,1980,1982,184,60,124,0,0,0,6
UTA,Tyrone Corbin,2011,2014,258,112,146,4,0,4,10
VAN,Brian Hill,1998,2000,154,31,123,0,0,0,6
VAN,Brian Winters,1996,1997,125,23,102,0,0,0,3
VAN,Lionel Hollins,2000,2000,60,18,42,0,0,0,1
VAN,Sidney Lowe,2001,2001,82,23,59,0,0,0,1
VAN,Stu Jackson,1997,1997,39,6,33,0,0,0,1
WAS,Bernie Bickerstaff,1998,1999,114,55,59,0,0,0,5
WAS,Darrell Walker,2000,2000,38,15,23,0,0,0,1
WAS,Doug Collins,2002,2003,164,74,90,0,0,0,3
WAS,Ed Tapscott,2009,2009,71,18,53,0,0,0,1
WAS,Eddie Jordan,2004,2009,421,197,224,26,8,18,21
WAS,Flip Saunders,2010,2012,181,51,130,0,0,0,6
WAS,Gar Heard,2000,2000,44,14,30,0,0,0,1
WAS,Jim Brovelli,1999,1999,18,5,13,0,0,0,1
WAS,Leonard Hamilton,2001,2001,82,19,63,0,0,0,1
WAS,Randy Wittman,2012,2016,377,178,199,21,12,9,15
WAS,Scott Brooks,2017,2020,318,149,169,19,9,10,10
WSB,Bernie Bickerstaff,1997,1997,35,22,13,3,0,3,1
WSB,Bob Staak,1997,1997,1,0,1,0,0,0,1
WSB,Dick Motta,1977,1980,328,185,143,51,27,24,10
WSB,Gene Shue,1981,1986,479,231,248,15,5,10,63
WSB,Jim Lynam,1995,1997,210,82,128,0,0,0,6
WSB,K.C. Jones,1975,1976,164,108,56,24,11,13,5
WSB,Kevin Loughery,1986,1988,122,57,65,8,2,6,6
WSB,Wes Unseld,1988,1994,547,202,345,5,2,3,28
